"id","url_id","language","status","attempts","last_error","created_at","updated_at"
"d13d5e2e-cfa7-4e3a-b75c-a527befcc9bb","2741d8d5-15c8-42f2-91ca-744414e755f1","fr","done",1,NULL,"2026-03-20 23:27:35.036079+00","2026-03-20 23:27:35.036081+00"
"427cfa9b-2008-4259-897b-e49b1efafec7","a1da6af5-6d39-481c-98ab-b162305f9118","fr","done",1,NULL,"2026-03-20 23:29:07.156203+00","2026-03-20 23:29:07.156207+00"
"f0148352-8d1b-4d1e-aaf6-f5c2060a2a32","2741d8d5-15c8-42f2-91ca-744414e755f1","it","done",1,NULL,"2026-03-20 23:30:26.586393+00","2026-03-20 23:30:26.586397+00"
"8eeae4fd-0ab4-4b24-a68d-5354f9b4443c","a1da6af5-6d39-481c-98ab-b162305f9118","it","done",1,NULL,"2026-03-20 23:31:44.827007+00","2026-03-20 23:31:44.827009+00"
"1d41e2fc-6c1b-4d81-83da-66c84e43ae35","2741d8d5-15c8-42f2-91ca-744414e755f1","nl","done",1,NULL,"2026-03-20 23:33:05.085965+00","2026-03-20 23:33:05.085967+00"
"025b1cb0-a921-422d-ad72-344e45937722","a1da6af5-6d39-481c-98ab-b162305f9118","nl","done",1,NULL,"2026-03-20 23:34:39.738584+00","2026-03-20 23:34:39.738586+00"
"7959e80f-c1cd-4a8a-99a6-6a70f7845cbf","2741d8d5-15c8-42f2-91ca-744414e755f1","pt","done",1,NULL,"2026-03-20 23:35:57.25602+00","2026-03-20 23:35:57.256023+00"
"746c08f4-6de6-455d-8cd9-327873433b43","a1da6af5-6d39-481c-98ab-b162305f9118","pt","done",1,NULL,"2026-03-20 23:37:13.964697+00","2026-03-20 23:37:13.964702+00"
"87b13702-884d-480d-af30-44e6bc92f2f6","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","es","done",1,NULL,"2026-03-20 23:38:32.294678+00","2026-03-20 23:38:32.294681+00"
"a87ec94f-9a2a-4b5b-b61c-05c80c6bab50","71df8c3a-151d-473b-8424-f5891aa1bbf0","es","done",1,NULL,"2026-03-20 23:40:04.984474+00","2026-03-20 23:40:04.984476+00"
"2d7cc459-806b-4981-b87f-63db03174316","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","en","done",1,NULL,"2026-03-20 23:42:58.051494+00","2026-03-20 23:42:58.051496+00"
"06ca399c-e8b2-472e-99a5-6dcc5ed0e283","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","de","done",1,NULL,"2026-03-20 23:49:13.258832+00","2026-03-20 23:49:13.258834+00"
"c9ef10c1-caee-43c4-b7a9-224b8bef6476","71df8c3a-151d-473b-8424-f5891aa1bbf0","en","error",1,"All scraping engines failed","2026-03-20 23:54:02.740816+00","2026-03-20 23:54:02.740819+00"
