id,hotel_id,url_id,language,service,service_category,created_at
97,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Habitaciones insonorizadas,,2026-04-06 23:04:10.767592+01
98,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Calefacción,,2026-04-06 23:04:10.767592+01
99,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Utensilios de planchado,,2026-04-06 23:04:10.767592+01
100,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Búlgaro,,2026-04-06 23:04:10.767592+01
101,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Inglés,,2026-04-06 23:04:10.767592+01
102,71f84df5-59d8-444b-b159-f1cfb5e99a63,6852288e-b661-42ff-8ecd-caaaec3a8a84,es,Serbio,,2026-04-06 23:04:10.767592+01
103,ac638b94-815b-45ed-a9de-63d20684265f,61dc8245-23aa-4dae-9474-ea3ede12b9a5,de,Frühstück,,2026-04-06 23:04:24.912359+01
104,ac638b94-815b-45ed-a9de-63d20684265f,61dc8245-23aa-4dae-9474-ea3ede12b9a5,de,1 Einrichtung anzeigen,,2026-04-06 23:04:24.912359+01
105,ac638b94-815b-45ed-a9de-63d20684265f,61dc8245-23aa-4dae-9474-ea3ede12b9a5,de,Nichtraucherunterkunft (Alle öffentlichen und privaten Bereiche sind Nichtraucherzonen),,2026-04-06 23:04:24.912359+01
106,ac638b94-815b-45ed-a9de-63d20684265f,61dc8245-23aa-4dae-9474-ea3ede12b9a5,de,Englisch,,2026-04-06 23:04:24.912359+01
107,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,Parkplatz,,2026-04-06 23:05:00.974921+01
108,c7a440ee-1ae3-49a9-b585-37ab0953647d,6852288e-b661-42ff-8ecd-caaaec3a8a84,de,WLAN inklusive,,2026-04-06 23:05:00.974921+01
