id,hotel_id,url_id,language,legal,legal_info,legal_details,has_legal_content,created_at
48,c1612314-f63e-4612-abf8-99d3089332e2,876ae6d7-2107-4a0d-ba22-b008376dd790,pt,Informação legal,"Informação legal Esta propriedade é gerida, licenciada ou representada por uma empresa. Esta designação não tem qualquer relevância em termos fiscais, incluindo o IVA e outros “impostos indiretos”, mas é necessária de acordo com a legislação aplicável aos consumidores. Pode encontrar mais informações sobre a empresa aqui: Ver dados da empresa .","",t,2026-03-31 02:02:10.480161+01
49,e4dc9441-291c-447f-b52d-2c5ab689b5ee,ee2746ec-b612-4295-87c9-77479c48e860,en,Legal information,"Legal information This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .","",t,2026-03-31 02:02:50.418043+01
50,8df3bf6a-2b7b-4722-b760-96bb5ceff9d9,5e39c27a-d31e-4221-badf-a2591e389f0c,en,Legal information,"Legal information This property is managed, licensed or represented by a business. This label has no relevance in terms of tax, including VAT and other 'indirect taxes', but is required under applicable consumer laws. You can find more information about the business here: See business details .","",t,2026-03-31 02:03:26.170295+01
51,1bb2b3b8-57ce-41b3-92e5-c23dd61c8111,ee2746ec-b612-4295-87c9-77479c48e860,es,Información legal,"Información legal Este alojamiento lo gestiona, autoriza o representa una empresa. Esta etiqueta no tiene ninguna importancia en términos fiscales, incluido el IVA y otros ""impuestos indirectos"", pero es obligatoria según la legislación sobre los derechos de los consumidores correspondiente. Puedes encontrar más información sobre la empresa aquí: ver los datos de la empresa .","",t,2026-03-31 02:04:00.322477+01
52,fa30b200-9d15-4068-8af5-26827c0507b9,5e39c27a-d31e-4221-badf-a2591e389f0c,es,Información legal,"Información legal Este alojamiento lo gestiona, autoriza o representa una empresa. Esta etiqueta no tiene ninguna importancia en términos fiscales, incluido el IVA y otros ""impuestos indirectos"", pero es obligatoria según la legislación sobre los derechos de los consumidores correspondiente. Puedes encontrar más información sobre la empresa aquí: ver los datos de la empresa .","",t,2026-03-31 02:04:35.53709+01
53,1f1a90a5-18e2-4013-8be3-8a21c509b45d,ee2746ec-b612-4295-87c9-77479c48e860,de,Rechtliche Informationen,"Rechtliche Informationen Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .","",t,2026-03-31 02:05:10.200518+01
54,ac552a9a-1bed-43fd-9069-2494c3dc1267,5e39c27a-d31e-4221-badf-a2591e389f0c,de,Rechtliche Informationen,"Rechtliche Informationen Diese Unterkunft wird durch ein Unternehmen verwaltet, lizenziert oder vertreten. Diese Kennzeichnung hat keine steuerliche Relevanz, einschließlich MwSt. und weiterer „indirekter Steuern“. Sie ist jedoch nach geltendem Verbraucherrecht erforderlich. Weitere Informationen zum Unternehmen finden Sie in den: Angaben zum Unternehmen .","",t,2026-03-31 02:05:45.679288+01
55,0c8de9c8-558c-4bb9-b88f-0ec25320c875,ee2746ec-b612-4295-87c9-77479c48e860,it,Informazioni legali,"Informazioni legali Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .","",t,2026-03-31 02:06:20.281073+01
56,1fb85786-2938-4081-8995-a2b4c2adc6f3,5e39c27a-d31e-4221-badf-a2591e389f0c,it,Informazioni legali,"Informazioni legali Questa struttura è gestita, autorizzata o rappresentata da un'azienda. Questa definizione non ha rilevanza in termini fiscali, incluse l'IVA e altre ""imposte indirette"", ma è obbligatoria ai sensi delle norme applicabili per la tutela dei consumatori. Per sapere di più sull'azienda, vai a: dettagli dell'azienda .","",t,2026-03-31 02:06:55.852925+01
57,b48317ee-12d8-4105-a1b5-a93ce4762b04,ee2746ec-b612-4295-87c9-77479c48e860,fr,Informations juridiques,"Informations juridiques Cet établissement est géré, est représenté ou détient une licence délivrée par une société. Cette mention n’a aucune incidence sur les taxes, y compris sur la TVA et sur toute autre « taxe indirecte », mais la législation applicable en matière de protection des consommateurs l’exige. Vous trouverez plus d’informations au sujet de la société sous ce lien .","",t,2026-03-31 02:07:30.763429+01
