external_ref,url_id,hotel_id,length_description,img_highres_count,count_service_category,count_service,hotel_review_score,hotel_review_count,base_url,book_lenght,book_imagenes,book_count_service_category,book_count_service,book_review_score,book_review_count,book_quality,book_destino_Turistico,book_destino_General
76401,fdae1fc2-366b-45d9-93a8-56962c1a0ecb,c4895ebd-c901-4192-8e84-d3142f8c7add,841,45,11,79,8.5,2174,https://www.booking.com/hotel/at/spirodom-admont.html,851,59,4,12,8.5,2156,0,Admont,Austria
76402,aac50fb0-a459-402e-9397-01c98bebf8b5,d01d8305-0311-4344-8832-a346d8db9b5d,380,45,5,7,8.6,513,https://www.booking.com/hotel/at/jufa-schloss-rothestein.html,380,53,4,12,8.6,524,3,Admont,Austria
76423,9556a514-a70a-486b-a702-0ef7f84c863b,f37774e5-1daa-4f75-8509-ba12d0963c35,1097,31,11,103,9.3,34,https://www.booking.com/hotel/at/seevilla-altaussee.html,1097,31,4,13,9.3,37,4,Altaussee,Austria
76470,ebc17fa3-bfe6-4ae6-b48f-228919f9184c,54d01033-77e2-48c8-8130-c48b8be87435,840,45,12,123,8.8,606,https://www.booking.com/hotel/at/narzissenhotel-bad-aussee.html,840,94,4,13,8.8,614,4,Bad Aussee,Austria
76472,a59995f7-72bd-44e6-b5b5-9be17c31faef,ef3352fe-dbe0-432f-b24e-a00074179e65,851,27,10,56,9.3,1101,https://www.booking.com/hotel/at/blumau.html,851,27,4,14,9.3,1106,4,Bad Blumau,Austria
76548,2d1813c3-eeef-445b-97a9-8237aafb6d0f,a32a212e-48b2-49a3-942c-a3861f7eed32,1182,45,13,154,8.5,285,https://www.booking.com/hotel/at/thermenwelt-pulverer.html,1182,93,4,15,8.5,286,5,Bad Kleinkirchheim,Austria
76554,d46758a9-4ed8-4ad3-9a2c-cf04ec0117a4,67a1c9b0-aca9-4cf1-9c4b-c20285861b87,871,45,12,97,8.9,535,https://www.booking.com/hotel/at/thermenhotel-ronacher.html,871,65,4,13,8.9,533,5,Bad Kleinkirchheim,Austria
76569,c9a830e6-3c3f-49f0-b3a6-b7613dd2ddff,459590e1-73c2-4d32-923d-8a42aaae5106,1067,45,12,57,7.8,242,https://www.booking.com/hotel/at/jagdhof-hubler.html,1067,136,20,64,7.8,242,3,Bad Mitterndorf,Austria
76577,ef7d032b-4c02-4535-ba4d-1fcda0db6306,050ee7e5-d607-4756-a884-971a6bf0bd36,972,45,8,34,9.4,467,https://www.booking.com/hotel/at/garni-birkenhof.html,972,89,4,10,9.4,469,3,Bad Radkersburg,Austria
76592,bb5f9db7-0347-4885-abaa-bf2793141750,471b1e81-44bf-4712-89cc-4e2b0c17ffe8,1238,45,5,10,8.8,128,https://www.booking.com/hotel/at/reiter-s-supreme.html,1238,47,4,13,8.9,127,5,Bad Tatzmannsdorf,Austria
76596,6552bfb6-a305-41a3-b92c-30e5ee882870,987b6394-129f-4534-9b72-a1f0a376262b,1611,45,12,136,9.1,2513,https://www.booking.com/hotel/at/quellenhotel-spa-heiltherme-bad-waltersdorf.html,1598,93,4,17,9.1,2563,4,Bad Waltersdorf,Austria
76598,a9b3d8ee-046d-43a7-8979-f1438a718828,650efd04-b2ef-473b-ad01-60ba1380a921,1055,45,12,109,8.5,610,https://www.booking.com/hotel/at/spa-resort-styria-adults-only-bad-waltersdorf.html,1055,59,4,17,8.5,603,4,Bad Waltersdorf,Austria
76672,8d9bf5e5-c9b5-418b-a317-b80dcd8d7bd8,7170327d-9858-4e68-aab7-5db8f7f10592,718,45,11,60,8.3,737,https://www.booking.com/hotel/at/jufa-bruck-weitental.html,718,63,4,12,8.3,731,3,Bruck an der Mur,Austria
76687,e10a21ee-35ee-46a8-a076-37d9ce835c9d,73c74039-c03f-4796-b989-6cb679bef4ff,799,45,9,69,8.9,379,https://www.booking.com/hotel/at/jufa-deutschlandsberg.html,809,56,4,12,8.9,367,3,Deutschlandsberg,Austria
76689,ef760178-f06b-438f-b3a3-5a09dec6863f,fd3fb6a8-29a9-45d6-96e3-80e9e657dc86,576,30,13,70,8.6,417,https://www.booking.com/hotel/at/jufa-donnersbachwald.html,576,30,4,12,8.6,419,3,Donnersbachwald,Austria
76724,2f9992f3-cc4c-46cc-87a8-0dc43ab169e0,f7aeb2fb-2618-4cd9-97f9-4a6edd97b0d2,823,45,11,60,9.3,265,https://www.booking.com/hotel/at/georgi-schloss.html,823,74,4,12,9.3,263,0,Ehrenhausen,Austria
76745,20d6dc0f-fb7d-46ac-935f-ac62016c05dd,60acd040-0e64-4ed9-bdf0-1ff8b78ab453,1274,45,13,202,9.6,54,https://www.booking.com/hotel/at/kaiserhof-ellmau.html,1274,120,4,14,9.5,53,5,Ellmau,Austria
76756,d5018eb7-b76a-4870-a851-2a7661974dff,a64b4391-ce60-4b99-883e-38ead9c8fab8,1621,45,12,156,9.4,114,https://www.booking.com/hotel/at/der-larchenhof.html,1621,195,4,13,9.4,113,5,Erpfendorf,Austria
76787,487bf847-b5db-4762-ac14-f816ac54f290,383d2b5b-4cab-418f-8f29-b052929f3eb8,708,45,13,72,7.9,1306,https://www.booking.com/hotel/at/kiwano.html,708,46,4,12,8.0,129,4,Feldkirchen bei Graz,Austria
76811,f1a409aa-2599-4d2c-a7e1-0ec309ba4638,a947afc6-8205-49fb-97e7-f4bf1ece6b11,1425,45,12,145,9.4,12,https://www.booking.com/hotel/at/sporthotel-stock.html,1425,96,4,14,9.4,12,5,Finkenberg,Austria
76822,9cdf0241-547f-4687-9569-f46e8fffafdf,1ea671e8-f05a-404a-b627-e5b39867b302,1253,45,13,162,9.7,43,https://www.booking.com/hotel/at/schlosshotel-fiss.html,1253,115,4,14,9.7,43,5,Fiss,Austria
76841,109f55eb-c205-41cf-b452-460a07ab0b40,,0,0,0,0,0,0,https://www.booking.com/hotel/at/vital-styria.html,0,0,4,13,0,0,,,
76888,3e89ee82-0d3b-413f-832d-8d3b5e997e65,418938a7-00eb-4461-bd58-4e1ae7ceff77,789,45,13,67,8.9,764,https://www.booking.com/hotel/at/restaurant-neudorferhof.html,799,73,4,12,8.9,772,0,Gabersdorf,Austria
76896,8273d2a3-f27e-4d60-85be-380baea34b37,cb1e4946-91c2-4af2-90c6-5369c2471a1d,1134,32,12,63,9.5,581,https://www.booking.com/hotel/at/weinrefugium-brolli.html,1134,32,4,10,9.5,588,4,Gamlitz,Austria
76897,7d115f32-4c72-4734-8c7f-c8a6d316a78d,e5651b7a-de10-4370-925c-f1bf5779e263,719,45,5,10,9,740,https://www.booking.com/hotel/at/jaglhof-by-domanies-kilger.html,729,46,4,12,8.9,728,0,Gamlitz,Austria
76898,79af490c-6b9f-468a-9022-3a0a5b25dd0c,94d815da-ea91-4fb2-8378-7948da7b4655,889,32,11,62,8.8,375,https://www.booking.com/hotel/at/schloss-gamlitz.html,899,32,4,12,8.8,378,0,Gamlitz,Austria
76920,a2f2a0e6-ce2c-4a1e-80e0-c6f134ebd9c9,0f9cd987-554c-4146-8e57-0dedde0bc329,1617,45,12,118,9.3,122,https://www.booking.com/hotel/at/traumhotel-alpina.html,1617,107,4,14,9.3,119,5,Gerlos,Austria
76951,0d1f89b2-5629-4951-afc2-3d8cc9347954,c6e0afeb-70eb-4822-a282-affeb0c7fda6,1103,45,11,81,9.3,101,https://www.booking.com/hotel/at/bergblick-gra-n.html,1103,70,4,13,9.2,99,5,Gran,Austria
76952,24d84a8d-b063-4451-8f26-15215ad0519e,a5f1da13-6001-4513-b1db-903635e57cbb,777,45,9,37,8.9,578,https://www.booking.com/hotel/at/steinerhaus-berggasthof.html,787,52,14,44,8.9,578,0,Grobming,Austria
76964,89827cc5-d9da-41f1-9991-0e276919647d,bcccdcf3-e029-4bf9-acd3-e3e3bf4ab77a,1261,45,12,80,9,2197,https://www.booking.com/hotel/at/hotel-sued-graz.html,1261,111,5,13,9.0,2206,4,Graz,Austria
