# SQL =
["SELECT al.url_id , al.hotel_id , h.hotel_name , al.language, al.service_category , service 
FROM hotels_all_services al
LEFT JOIN hotels h ON al.url_id = h.url_id and al.language = h.language and al.hotel_id = h.id 
WHERE hotel_name in('wild & bolz eMotel','vidimo se','Hotel Aquamarin')
AND al.language in ('es','en')
ORDER BY al.url_id , al.language , al.service_category"]
 
## RESULT =
[
url_id,hotel_id,hotel_name,language,service_category,service
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Zona de fumadores
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Detectores de humo
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Dardos
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Canales por cable
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Cama plegable
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Calefacción
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Buffet para niños
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,WiFi gratis
41a492c0-9d76-4d76-852c-d9a20b20804a,1f017b93-7448-4d1b-890f-1850bc63b2cc,Hotel Aquamarin,es,,Servicio de limpieza diario
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Food & Drink,Good breakfast
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,General,Non-smoking rooms
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Room Amenities,Flat-screen TV
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Room Amenities,Satellite channels
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Room Amenities,Towels
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Room Amenities,Socket near the bed
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,Room Amenities,Linen
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Free WiFi
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Serbian
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Terrace
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Bosnian
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Parking
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Heating
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Croatian
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Family rooms
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,German
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Free parking
8bb357ef-cee9-4770-8160-73ec5a977af4,98b9fabf-c614-452a-8e9c-050bd164b627,vidimo se,en,,Private parking
8bb357ef-cee9-4770-8160-73ec5a977af4,11296968-4385-4242-88f6-6409e0fb97c1,vidimo se,es,Alimentos y bebidas,Buen desayuno
8bb357ef-cee9-4770-8160-73ec5a977af4,11296968-4385-4242-88f6-6409e0fb97c1,vidimo se,es,,Habitaciones familiares
8bb357ef-cee9-4770-8160-73ec5a977af4,11296968-4385-4242-88f6-6409e0fb97c1,vidimo se,es,,Habitaciones sin humo
8bb357ef-cee9-4770-8160-73ec5a977af4,11296968-4385-4242-88f6-6409e0fb97c1,vidimo se,es,,WiFi gratis
8bb357ef-cee9-4770-8160-73ec5a977af4,11296968-4385-4242-88f6-6409e0fb97c1,vidimo se,es,,Parking gratis
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,General,Non-smoking rooms
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,General,Non-smoking throughout
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Outdoors & View,Mountain view
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Towels
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Wardrobe or closet
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Toilet paper
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Toilet
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Socket near the bed
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Shower
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Seating Area
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Private bathroom
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Linen
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Hairdryer
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Flat-screen TV
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,Room Amenities,Desk
d39feb52-f6ee-4e8f-94c7-e65bf3b9c8b3,58b9e293-e963-4125-bb07-6feda8adb7aa,wild & bolz eMotel,en,,Wine/champagne Additional charge
