"id","hotel_id","url_id","language","highlights","created_at","updated_at"
"82b4f513-191e-475f-864f-6fd04a404061","fbdc09da-3d08-44d3-9a34-86a3c52c3409","2741d8d5-15c8-42f2-91ca-744414e755f1","es","<div><span><span><span><span><button><span><span></span></span><span>Guardar el alojamiento</span></button></span></span></span></span></div>","2026-03-20 23:16:27.319696+00","2026-03-20 23:16:27.319698+00"
"11b5cea6-2b9e-42ee-91f9-96c75e9112b7","742f629d-a0d9-44e9-9ec2-840919a883e6","a1da6af5-6d39-481c-98ab-b162305f9118","es","<div><span><span><span><span><button><span><span></span></span><span>Guardar el alojamiento</span></button></span></span></span></span></div>","2026-03-20 23:17:57.501075+00","2026-03-20 23:17:57.501078+00"
"5f0062d3-0192-481b-bb23-e2ef27aaa86c","66e5f2d5-3972-495d-94cc-902aae087365","2741d8d5-15c8-42f2-91ca-744414e755f1","en","<div><span><span><span><span><button><span><span></span></span><span>Save the property</span></button></span></span></span></span></div>","2026-03-20 23:20:52.783166+00","2026-03-20 23:20:52.783169+00"
"d33905af-9783-4f77-88dd-efd41f50723a","162419c6-072a-425e-b0f2-8f46d921975c","2741d8d5-15c8-42f2-91ca-744414e755f1","fr","<div><span><span><span><span><button><span><span></span></span><span>Enregistrer l'établissement</span></button></span></span></span></span></div>","2026-03-20 23:27:35.032192+00","2026-03-20 23:27:35.032194+00"
"0caa4b9f-0e81-44ac-8c3a-0e8b87e95caa","dcc38fe7-5d6d-4d7c-8f70-7ee609169902","2741d8d5-15c8-42f2-91ca-744414e755f1","it","<div><span><span><span><span><button><span><span></span></span><span>Salva la struttura</span></button></span></span></span></span></div>","2026-03-20 23:30:26.571444+00","2026-03-20 23:30:26.571449+00"
"9f6c834e-eac9-4296-b5ec-300fab5130ac","5876c867-fc58-4e96-94ff-151fa2f2d22b","a1da6af5-6d39-481c-98ab-b162305f9118","it","<div><span><span><span><span><button><span><span></span></span><span>Salva la struttura</span></button></span></span></span></span></div>","2026-03-20 23:31:44.823138+00","2026-03-20 23:31:44.82314+00"
"0c4749cc-77ea-4a91-9613-db763866c520","3e161e05-3ff3-4fb6-ab7b-0ffc2c4fbcd1","2741d8d5-15c8-42f2-91ca-744414e755f1","nl","<div><span><span><span><span><button><span><span></span></span><span>Accommodatie opslaan</span></button></span></span></span></span></div>","2026-03-20 23:33:05.081556+00","2026-03-20 23:33:05.081558+00"
"176f6011-7634-4fb9-8d08-e6d8d1aaac36","41a394d8-6680-4766-b45e-b661a874d9e1","a1da6af5-6d39-481c-98ab-b162305f9118","nl","<div><span><span><span><span><button><span><span></span></span><span>Accommodatie opslaan</span></button></span></span></span></span></div>","2026-03-20 23:34:39.734644+00","2026-03-20 23:34:39.734646+00"
"303ba9ad-6127-4f6e-8f71-ff7c10b43bd6","cde88914-02f6-4849-aa22-79d38a8a9af6","a1da6af5-6d39-481c-98ab-b162305f9118","pt","<div><span><span><span><span><button><span><span></span></span><span>Guardar o alojamento</span></button></span></span></span></span></div>","2026-03-20 23:37:13.957853+00","2026-03-20 23:37:13.957856+00"
"e659cd0e-d449-45c1-aa61-c8d8509e9fb6","fddafa40-1820-405a-a157-ea10db35266d","3be684d6-55a7-49a5-a0e8-8117cfe37bb4","es","<div><span><span><span><span><button><span><span></span></span><span>Guardar el alojamiento</span></button></span></span></span></span></div>","2026-03-20 23:38:32.279644+00","2026-03-20 23:38:32.279647+00"
