Query SQL :
SELECT 
    u.id, d.hotel_id, u.external_ref, LENGTH(d.description) AS description_length,
	COALESCE(img.highres_count, 0) AS img_highres_count,
	COALESCE(s.count_service_category, 0) AS count_service_category, COALESCE(s.count_service, 0) AS count_service
FROM url_queue u
LEFT JOIN hotels_description d ON u.id = d.url_id AND d.language = 'en'
LEFT JOIN (
    SELECT hotel_id, COUNT(category) AS highres_count
    FROM image_downloads
    WHERE category = 'highres_url'
    GROUP BY hotel_id
) img 
       ON d.hotel_id = img.hotel_id
LEFT JOIN (
    SELECT url_id, hotel_id , COUNT(DISTINCT service_category) 
        + COUNT(DISTINCT CASE WHEN service_category IS NULL THEN 1 END) 
        AS count_service_category,  COUNT(*) AS count_service
    FROM hotels_all_services
    WHERE language = 'en'
    GROUP BY hotel_id, url_id
) s
       ON d.hotel_id = s.hotel_id AND u.id = s.url_id
ORDER BY u.external_ref;

---

Result :
{
external_ref,id,hotel_id,description_length,img_highres_count,count_service_category,count_service
77006,49c41f46-506d-4746-83e1-251eecf51b1a,750067be-c52f-4272-8806-99e7719d6350,652,45,12,75
77007,dc59ec9e-fc2f-4ca6-a558-03530767b2c3,22119e55-45f2-465a-afd3-481ad0dbf079,1379,45,13,71
77088,1a21c826-b98e-44d1-9342-27de57e52793,1e2d10f1-0ad4-4aa3-af8a-d2bf8ca2c3ef,1126,45,13,136
77089,a9dfa846-5011-4b87-92a3-51f3161b3ae6,fdb7b98c-53ea-4f89-ad42-e95050a1c787,569,31,10,41
77091,9b74c470-be48-499b-bf62-807124a0e0eb,16d84033-5ca8-44e1-86d2-e5908303a1d7,802,31,11,89
77148,e59665f8-3dcb-49ec-9cae-f705d553fa15,89b5bc98-d820-41ed-b954-c212efaa5e8f,1203,45,12,117
77149,b2506b55-ccf1-4687-9fc6-b892a1bad9c3,e726cf85-7885-4ed0-a129-c4e563ca51af,506,45,12,170
77152,92676fed-1500-4cd3-9138-e08fc2e271cb,e6110860-ffa9-4068-bbae-07d2f1d0e01a,1138,45,9,79
77179,293c1ef4-1239-4be7-9b84-cb9cbc79dc76,9d707ccc-614c-4f14-b67b-dab39759e706,1461,45,11,131
77196,49fe5e1f-a6ef-406b-915f-bb49f764cb6d,7cf45e2f-4072-4b22-973e-b608b34a6719,952,45,13,141
77198,e9448413-6ac9-44cf-8017-d12df235fddd,7a6e3b1f-b98d-4193-af82-de5f4c278242,443,45,12,54
77199,78f91c7e-8e4e-45d2-9a5c-885cf3c877c0,1754f45c-5884-450c-a375-09af05a9190b,687,45,12,58
77200,f9b4076e-5328-4ccf-a19a-19cedee22d49,bb14b0af-9cfd-4ca4-afa3-3a73c9aeb036,721,45,13,70
77224,91950971-f4c8-431d-a7f0-96967d7e3cee,,0,0,0,0
77228,c9051575-3076-426a-ba27-dfe02acf4f33,140d1085-42b5-4d96-8734-ca3d1580f46b,1268,45,11,96
77262,d6d5b07c-90b1-45ef-92c4-68d6e36f015b,d6d1a967-a77f-416f-9432-ebd77d89ebd8,608,45,9,31
77313,52fc4d8d-7e92-45b5-a689-7474187ddbda,804a1835-ebc4-4cf3-bdee-194b551a6ea3,749,45,10,58
77318,2125f56f-bca3-48b7-b522-2f9989ca7da1,a1cb1795-f563-4689-a5d9-7b4f937b04b9,675,33,9,17
77334,f23d5408-d030-4255-85fe-ad261a489fe1,15192d0c-5bc8-44dc-901a-0cfc0cdd8e8b,869,39,5,8
77370,25ea5418-b076-416f-8ff2-4782098bf361,9c56e46f-bd8f-4bd4-a78d-c0fc0dc6aa75,663,43,12,142
77373,34a82cf2-54c4-4b8b-9fa6-ae107fb64154,8b28120e-c2a6-495b-b70a-cc8a99d90410,831,45,9,52
77374,db346a16-db5a-44e8-8a24-ae1387bd81ff,72c2f13d-ef5b-4a89-903e-fe4e6f669169,783,45,9,49
77393,b886814e-0457-488d-87ef-6e95e2270ce1,cc5dbf34-9aee-435b-b4ad-6555e07b756c,833,21,5,6
77399,a7f3cd83-7c38-4204-8c65-9e88c5fe8e3a,69eca9d1-5fe2-4579-962a-fb29165158fc,854,45,12,116
77413,8cf03509-2491-4e5d-bcaf-e3c501f8d9e5,5782688a-49e8-4939-b5bb-5bae0796262c,770,45,12,126
77414,b9dbc66b-dc6e-4e88-a8bf-667a41094588,34dd8f45-1700-4f30-9d7d-8d09f89882c7,1099,45,13,114
77415,a6fffdec-e06c-4296-b716-490350cfe70c,1aff3175-1930-4fe5-99f0-62f186d6ed9c,1057,45,12,151
77416,30b5bac7-5933-4fd8-bbbb-3cdf5e808cf5,2ae8cda6-2590-431b-8f18-191ed725798b,961,45,11,125
77417,d144b20e-d024-4525-844b-e3760563ae7b,0c7d40ee-6a79-4ad7-85ba-6c9e8cb890ff,1237,45,11,99
77443,1a54d1fb-c023-49f2-86aa-96fcd951804c,5d6fd0ce-8717-4269-b49c-18631d7a9f63,935,45,12,151
77460,3612d529-fb4b-41c2-b05a-3e33772a5e77,31e7bd0b-7ae6-4395-9f82-cc0656a54739,531,45,12,44
77464,2a5f4f34-3a05-4b38-b1fd-466d41cad46a,f525d53f-f0c3-45be-bb2b-8c1053bf922b,1004,45,13,156
77490,6c25cdd1-2bbf-45a4-bc80-d28e0918295f,727b62d2-3a3d-450e-be1f-daad8f4f698a,903,19,10,45
77529,deea6188-9d58-4a00-b46d-ad62350c3bae,f6e11f62-3452-4564-8482-bf2ec55e66b4,974,45,12,78
77541,2e09de28-e7a5-4602-8291-225615ae2c66,e7ba03a1-6c7e-4f3f-a640-672bdbc749c9,455,40,12,77
77542,1fbb6ac0-ab8d-4476-a2ca-23442c06c9dd,fc114384-dcf8-4a88-b5b1-e97f888d7aa2,815,45,10,45
77544,11f0488f-50a1-470e-9134-3a2a9765d8ee,7f5f226f-3940-409a-b98f-ed1726920c29,981,45,13,80
77569,6b18bae9-2e2e-4e48-89f8-6cc353ff4e3f,c72ceafb-5179-41f6-a2cb-47e268ad0a3b,967,45,13,133
77717,5ae89470-e3ab-4478-a049-5720913658c2,6202ab41-593b-4d9c-a3a8-59c455dda9fb,1282,45,10,104
77736,f62dadce-edd5-4979-8e80-724f3ca81f4b,d98c2ba1-c974-4f90-a953-24cceb425008,558,45,12,90
77774,594084b7-1ffc-44b5-95e3-aa0673198b86,4c653f82-e1d2-42f5-861b-66adf64f308f,785,45,13,121
77775,cbefc684-20cf-447a-bc02-638f850e0643,4eb842da-d5e3-441f-ba63-0c3d2693cd37,627,45,11,151
77788,d74d56d0-954a-488f-8021-50cff34fdba6,72b6bd4f-c697-4e8e-90cb-c89cf2528154,834,26,8,32
77803,162f605d-9070-4655-8f12-04921733f3b4,d7de0c39-e11e-4883-bacd-9d95d64f77c8,672,30,13,89
77853,7e41357f-c9fa-40be-810d-93f56a80fd61,feb7f6b1-a30c-4158-b443-df92677425f2,845,29,13,76
77890,55c55904-3dbf-4f3a-b3c4-922871be62b0,6c39b262-4905-47ea-b8dc-6d7cfe6ada92,943,30,10,72
77892,4e7fd089-fc97-4b4a-a65f-ae576d848dbd,6e2ace99-3f16-48b7-91cf-bdc9d36b1010,579,45,12,84
77897,0e707bc1-48e9-45f1-872e-a1c95b49ba66,dbaf0c24-a104-4312-bff2-d8ccf5f1bee6,708,45,12,153
77978,2031ed9f-8103-4202-8954-630c83c77187,1b9a2ca9-7a64-4122-b3e3-c0408617dbc0,1411,45,13,136
77989,9373a666-f5cd-4009-a93c-f220f7e56df8,4b6d12ad-9dd2-40d3-ba29-0935ca434ef7,818,45,13,126
78023,45cf7deb-3e82-4d57-bdd4-24e8268905c0,b77a8377-d6a0-471f-b1d3-6f0be7f73328,875,38,11,82
78033,ca0e4d0f-d109-4730-98fe-b4444e304029,ed8cf7fc-3a7f-4666-a3b3-5440f23b4ea8,1126,45,11,101
78035,51b53d79-338a-4492-b1e5-f2b1cb1e7a6c,639f20bb-e59e-40dc-8d79-8198fe0e7f57,719,45,11,89
78073,f2e75024-6d5d-4c3e-9229-0443d6d11155,ca693a2f-aff8-48fc-9c3b-bb6262af1a96,1283,45,12,98
78074,44970774-b5ed-4995-9e67-65d2cf7833bf,,0,0,0,0
78137,d840ffa1-2bee-4e73-9118-603b1048492f,b538926d-b94a-452a-b05a-66899b300af3,778,45,13,90
78155,654db025-5c26-4ff9-996d-4f854562dbe3,8b004827-ed65-444d-897d-7c3ffab91c47,845,25,10,47
78309,2476ba1f-3004-414a-985a-83725758e5ba,47f4e914-e0cc-44c7-8926-9136b3c2a9f8,653,8,7,18
78465,35179572-d8a4-48b5-82f5-b955bce8088e,340cf255-d4bf-4f76-8207-99ccbdde69a8,592,22,13,37
}
